year,section,min_date,max_date
1942,127,0,0
1943,127,0,0
1944,127,0,0
1945,127,0,0
1946,127,0,0
1947,127,1947-03-05,1947-04-08
1948,127,1948-04-20,1948-04-21
1949,127,1949-04-14,1949-04-14
1950,127,0,0
1951,127,1951-03-29,1951-03-30
1952,127,1952-04-06,1952-04-06
1953,127,1953-04-08,1953-04-08
1954,127,1954-04-07,1954-04-12
1955,127,1955-03-31,1955-03-31
1956,127,1956-04-05,1956-04-05
1957,127,1957-04-09,1957-04-09
1958,127,1958-03-30,1958-03-30
1959,127,1959-03-31,1959-03-31
1960,127,1960-03-30,1960-04-15
1961,127,0,0
1962,127,0,0
1963,127,0,0
1964,127,1964-03-30,1964-03-30
1965,127,1965-03-29,1965-03-29
1966,127,1966-04-05,1966-04-24
1967,127,1967-03-25,1967-04-02
1968,127,1968-03-17,1968-03-31
1969,127,1969-03-21,1969-03-22
1970,127,1970-03-16,1970-04-01
1971,127,1971-04-01,1971-04-01
1972,127,1972-03-15,1972-03-31
1973,127,1973-04-01,1973-03-23
1974,127,1974-03-16,1974-03-27
1975,127,1975-03-19,1975-03-25
1976,127,1976-03-19,1976-03-30
1977,127,1977-03-21,1977-03-25
1978,127,1978-03-22,1978-03-22
1979,127,1979-03-12,1979-03-30
1980,127,1980-03-13,1980-03-20
1981,127,1981-03-11,1981-04-02
1982,127,1982-03-15,1982-03-28
1983,127,1983-03-13,1983-03-22
1984,127,1984-03-09,1984-03-21
1985,127,1985-03-08,1985-04-04
1986,127,1986-03-17,1986-03-27
